Urutan frame,Posisi bola relatif terhadap sumbu y
0,430
1,430
2,430
3,430
4,430
5,430
6,430
7,430
8,431
9,431
10,430
11,431
12,431
13,431
14,431
15,431
16,430
17,431
18,432
19,431
20,431
21,431
22,432
23,431
24,430
25,430
26,430
27,430
28,430
29,430
30,430
31,430
32,430
33,430
34,430
35,430
36,430
37,430
38,431
39,430
40,430
41,430
42,430
43,429
44,429
45,430
46,434
47,438
48,444
49,451
50,456
51,465
52,474
53,487
54,498
55,507
56,524
57,539
58,558
59,571
60,586
61,608
62,629
63,644
64,666
67,731
68,763
69,794
70,821
71,846
72,878
73,906
74,942
75,978
76,1014
77,1044
78,1082
79,1115
80,1152
83,1272
87,1449
88,1495
91,1655
93,1748
